56.36425;APR;2025;Sportzentrum;PV-Anlage Installation;1.012075E+07;23440.12
66.52479;MAY;2025;Mathematik;PV-Anlage Installation;9485632;23436.12
78.86519;JUN;2025;Philosophie und Theologie;PV-Anlage Installation;5841549;23411.12
95.9876;JUL;2026;Mensa;LED-Lampen;7827809;23389.12
133.2273;OCT;2027;Sportzentrum;Energetische Gebäudesanierung;7569933;23323.12
138.0293;NOV;2027;Physik;PV-Anlage Installation;4699517;23304.12
142.6294;NOV;2028;Chemie;Energetische Gebäudesanierung;1240567;21488.12
147.2849;NOV;2028;Zentrales Bibliotheksgebäude;LED-Lampen;1129598;21476.12
151.7339;DEC;2028;Philosophie und Theologie;LED-Lampen;1020994;21448.12
156.4668;DEC;2028;Vielberthgebäude;LED-Lampen;1007662;21445.12
160.3463;DEC;2028;Ostbayerische Technische Hochschule Regensburg;LED-Lampen;843953;21384.12
173.1605;FEB;2029;Technische Zentrale;LED-Lampen;2938178;21346.12
186.3321;MAR;2029;Vorklinikum;PV-Anlage Installation;566610;21330.12
190.888;MAR;2029;Physik;LED-Lampen;481316;21287.12
229.6074;JUN;2030;Zentrales Hörsaalgebäude;LED-Lampen;2468444;21279.12
232.542;JUN;2030;Recht und Wirtschaft;LED-Lampen;2361380;21265.12
235.879;JUL;2031;Sammelgebäude;LED-Lampen;4300613;21261.12
242.6286;JUL;2031;Physik;Energetische Gebäudesanierung;977195;20791.12
250.3162;AUG;2031;Vorklinikum;LED-Lampen;920818;20760.12
254.7286;AUG;2031;Sportzentrum;Solarthermie für Warmwasser;666498;20760.12
262.0853;SEP;2031;Technische Zentrale;PV-Anlage Installation;587514;20759.12
273.5293;OCT;2032;Rechenzentrum;LED-Lampen;2677718;20728.12
278.0973;OCT;2032;Zentrales Bibliotheksgebäude;PV-Anlage Installation;343686;20712.12
299.9512;DEC;2033;Sammelgebäude;Energetische Gebäudesanierung;9307;20480.12
312.0396;JAN;2033;Studentenhaus;LED-Lampen;5741;20478.12
315.8428;JAN;2033;Verwaltungsgebäude und Ladengeschäfte;Papierkonzept verbessern;5741;20455.12
330.4739;MAR;2034;Verwaltungsgebäude und Ladengeschäfte;LED-Lampen;2032667;20454.12
344.1497;APR;2034;Chemie;LED-Lampen;2529374;20357.12
355.5496;MAY;2034;Sportzentrum;LED-Lampen;2760294;20352.12
360.9862;MAY;2035;Technische Zentrale;Energetische Gebäudesanierung;4463541;20327.12
367.52;JUN;2035;Studentenhaus;PV-Anlage Installation;3852449;20323.12
371.1995;JUN;2035;Zentrales Hörsaalgebäude;Energetische Gebäudesanierung;637983;20092.12
399.9464;AUG;2036;Verwaltungsgebäude und Ladengeschäfte;Energetische Gebäudesanierung;1533120;19992.12
403.2083;SEP;2036;Studentenhaus;Energetische Gebäudesanierung;380806;19941.12
427.3859;NOV;2037;Entsorgungszentrum;Energetische Gebäudesanierung;2113809;19921.12
446.9663;DEC;2037;Mathematik;Energetische Gebäudesanierung;1074673;19886.12
461.762;FEB;2038;Mensa;Energetische Gebäudesanierung;1763696;19734.12
485.7528;APR;2039;Zentrales Hörsaalgebäude;PV-Anlage Installation;469124;19711.12
522.6821;JUL;2040;Mensa;PV-Anlage Installation;1539854;19704.12
565.0699;OCT;2041;Recht und Wirtschaft;Energetische Gebäudesanierung;336003;19589.12
645.9719;MAY;2044;Ostbayerische Technische Hochschule Regensburg;Energetische Gebäudesanierung;15905;19589.12
706.5425;OCT;2046;Recht und Wirtschaft;PV-Anlage Installation;1809854;19574.12
730.4124;DEC;2046;Sammelgebäude;PV-Anlage Installation;531726;19566.12
